MHD,11.75,11.875,3.684202194,11.75,11.9375,77700,29/12/2000
GTS,24.69000053,24.07999992,24.07999992,24.04999924,24.97999954,72300,30/01/2015
RRC,13.03332996,12.87333012,12.31801224,12.71333027,13.10000038,1009500,11/01/2005
AMSWA,2.518518448,2.518518448,0.955097198,2.518518448,2.567901134,40600,10/07/1984
RAVN,2.104166746,2.104166746,0.131471306,2.104166746,2.104166746,12000,19/08/1997
AAPL,72.2842865,72.69857025,59.56578827,72.24428558,72.7514267,72635500,18/10/2013
OXLC,10.42000008,10.56000042,10.30752087,10.42000008,10.57999992,311400,02/07/2018
PEY,8.680000305,8.68999958,6.646595001,8.670000076,8.729999542,135800,03/06/2011
AMSWA,8.520000458,8.609999657,6.32738781,8.390000343,8.649999619,125400,03/05/2012
PEY,13.59000015,13.56000042,12.03593349,13.51000023,13.61999989,98700,16/04/2015
RAVN,15.14000034,16.27000046,11.57805157,15.10999966,16.36499977,271400,13/02/2008
GHDX,10.25,10.05000019,10.05000019,10,10.25,27800,09/12/2005
MHD,14.27000046,14.34000015,7.949159622,14.27000046,14.35000038,13500,28/08/2009
RAVN,1.388888836,1.416666627,0.024142597,1.388888836,1.416666627,36000,17/08/1992
PEZ,18.94000053,19.03000069,18.02133369,18.94000053,19.03000069,1700,19/11/2009
CLWT,3.140000105,3.329999924,3.329999924,3.099999905,3.329999924,7500,29/07/2016
RRC,40.31999969,41.25,40.92333603,40,41.49000168,2645600,23/05/2016
MHD,16.84000015,16.82999992,11.070858,16.72999954,16.84000015,33300,10/01/2012
FLWS,5.059999943,5.25,5.25,5.050000191,5.25,113400,13/10/2006
GTS,24.22999954,24.45999908,24.45999908,24.12999916,24.54000092,82400,10/01/2018
AAPL,0.645089269,0.651785731,0.437999517,0.642857134,0.660714269,42548800,04/02/1998
EGHT,1.840000033,1.850000024,1.850000024,1.820000052,1.870000005,626900,10/02/2006
GTN,12.64999962,12.14999962,12.14999962,12.10000038,12.89999962,1085900,02/04/2018
MHF,9.75,9.75,3.138879776,9.75,9.875,53900,06/01/1999
RAVN,1.375,1.375,0.050220102,1.375,1.375,3200,21/11/1995
GTN,9.31000042,9.550000191,7.668263435,9.31000042,9.550000191,62500,18/02/2003
RAVN,1.645833373,1.541666627,0.072412185,1.53125,1.645833373,168000,02/08/1996
GTN,9.789999962,10.01000023,10.01000023,9.670000076,10.09000015,1384600,23/09/2016
RAVN,1.541666627,1.541666627,0.03969989,1.541666627,1.65625,12800,01/08/1994
CLWT,12.17185974,12.38171959,12.38171959,12.17185974,13.0112896,33000,29/08/1997
AAPL,154.2599945,153.8099976,151.5190277,152.7200012,154.4499969,18698800,02/10/2017
RAVN,1.1875,1.171875,0.153798193,1.171875,1.1875,74400,06/05/1999
